overall_rank,country_or_region,score,gdp_per_capita,healthy_life_expectancy,total_cases,total_deaths,total_recovered,total_tests,population
113,Namibia,4.64,0.88,0.48,18,0,14,2586,2535571
114,Niger,4.63,0.14,0.37,924,60,753,5949,24095961
115,Burkina Faso,4.59,0.33,0.38,812,52,669,0,20833816
116,Armenia,4.56,0.85,0.82,5928,74,2874,47654,2962649
117,Iran,4.55,1.1,0.78,129341,7249,100564,746045,83871454
118,Guinea,4.53,0.38,0.38,3067,18,1575,10304,13089690
119,Georgia,4.52,0.89,0.75,723,12,495,45707,3989972
120,Gambia,4.52,0.31,0.43,24,1,13,1476,2408415
121,Kenya,4.51,0.51,0.58,1109,50,375,52507,53631400
122,Mauritania,4.49,0.57,0.49,173,5,7,2583,4634928
123,Mozambique,4.47,0.2,0.39,162,0,48,7063,31149023
124,Tunisia,4.46,0.92,0.82,1046,47,883,45308,11804800
125,Bangladesh,4.46,0.56,0.72,30205,432,6190,223841,164506480
126,Iraq,4.44,1.04,0.57,3877,140,2483,149701,40115676
128,Mali,4.39,0.38,0.31,947,60,558,3483,20179688
129,Sierra Leone,4.37,0.27,0.24,585,35,205,0,7957977
130,Sri Lanka,4.37,0.95,0.83,1055,9,620,49124,21403517
131,Myanmar,4.36,0.71,0.56,199,6,108,16550,54369777
132,Chad,4.35,0.35,0.19,588,58,186,0,16368402
133,Ukraine,4.33,0.82,0.74,20148,588,6585,267185,43760843
134,Ethiopia,4.29,0.34,0.53,399,5,123,69519,114622829
136,Uganda,4.19,0.33,0.44,160,0,66,81682,45562477
137,Egypt,4.17,0.91,0.64,15003,696,4217,135000,102109848
138,Zambia,4.11,0.58,0.43,866,7,302,19432,18321393
139,Togo,4.08,0.28,0.41,354,12,118,14767,8255653
140,India,4.01,0.76,0.59,119419,3599,48957,2719434,1378492893
141,Liberia,3.98,0.07,0.44,240,23,131,0,5043542
142,Comoros,3.97,0.27,0.5,34,1,8,0,867421
143,Madagascar,3.93,0.27,0.56,405,2,131,5670,27605453
144,Lesotho,3.8,0.49,0.17,1,0,0,0,2140374
145,Burundi,3.78,0.05,0.38,42,1,20,284,11847387
146,Zimbabwe,3.66,0.37,0.43,51,4,18,28019,14838265
147,Haiti,3.6,0.32,0.45,734,25,21,2519,11386865
148,Botswana,3.49,1.04,0.54,29,1,19,14855,2346068
149,Syria,3.46,0.62,0.44,58,3,36,0,17449901
150,Malawi,3.41,0.19,0.5,72,3,27,1803,19070499
151,Yemen,3.38,0.29,0.46,197,33,5,120,29748378
152,Rwanda,3.33,0.36,0.61,320,0,217,54400,12913795
153,Tanzania,3.23,0.48,0.5,509,21,183,0,59527001
154,Afghanistan,3.2,0.35,0.36,9216,205,996,27889,38824552
156,South Sudan,2.85,0.31,0.3,481,4,4,3356,11178970
